     78.12 2.044154e+03 7.074637e+02 1.570980e+03 1.400400e-02
    117.19 2.082899e+03 7.859576e+02 1.683673e+03 1.960000e-02
    156.25 2.057825e+03 8.121827e+02 1.699367e+03 2.589200e-02
    195.31 2.112736e+03 8.099789e+02 1.757750e+03 3.129000e-02
    292.97 2.128505e+03 7.532389e+02 1.765952e+03 4.671700e-02
    390.62 2.110372e+03 7.334605e+02 1.755030e+03 6.267700e-02
    781.25 2.168798e+03 7.444908e+02 1.822520e+03 1.207120e-01
   1562.50 2.157416e+03 7.741286e+02 1.842384e+03 2.388210e-01
   3125.00 2.178068e+03 8.291358e+02 1.890310e+03 4.655320e-01
   7812.50 2.186916e+03 8.758600e+02 1.922144e+03 1.144555e+00
  15625.00 2.186744e+03 8.836225e+02 1.926779e+03 2.283604e+00
  31250.00 2.078405e+03 4.954425e+02 1.609842e+03 5.466376e+00
  46875.00 2.056708e+03 3.066376e+02 1.353624e+03 9.751602e+00
  62500.00 2.054447e+03 2.997139e+02 1.340528e+03 1.312915e+01
 117187.50 2.061320e+03 3.009729e+02 1.345605e+03 2.452429e+01
