     78.12 1.960208e+03 7.350239e+02 1.538246e+03 1.430200e-02
    117.19 2.081310e+03 8.351893e+02 1.704281e+03 1.936300e-02
    156.25 2.105596e+03 8.661758e+02 1.760000e+03 2.500000e-02
    195.31 2.121701e+03 8.915835e+02 1.799738e+03 3.056000e-02
    292.97 2.146967e+03 9.355120e+02 1.860245e+03 4.434900e-02
    390.62 2.117926e+03 9.354537e+02 1.850450e+03 5.944500e-02
    781.25 2.174362e+03 9.921619e+02 1.935478e+03 1.136670e-01
   1562.50 2.142291e+03 9.788567e+02 1.919193e+03 2.292630e-01
   3125.00 2.180561e+03 1.010675e+03 1.965242e+03 4.477820e-01
   7812.50 2.181767e+03 1.017620e+03 1.973082e+03 1.115007e+00
  15625.00 2.183031e+03 1.018716e+03 1.975948e+03 2.226779e+00
  31250.00 2.185840e+03 1.024205e+03 1.980725e+03 4.442817e+00
  46875.00 2.100280e+03 1.001475e+03 1.909249e+03 6.913714e+00
  62500.00 2.097481e+03 9.764469e+02 1.898793e+03 9.269046e+00
 117187.50 2.103414e+03 9.469670e+02 1.892961e+03 1.743300e+01
